year,station_key,station_jp,inner,outer,grad_log
2022,新大阪,新大阪,13.28925592588565,12.961668123768485,0.327587802117165
2023,新大阪,新大阪,13.344710881051027,13.002780686446856,0.3419301946041706
2024,新大阪,新大阪,13.433157281738444,13.073202219417526,0.35995506232091756
2025,新大阪,新大阪,13.529319281817637,13.153953735784013,0.37536554603362404
2009,新富士,新富士,11.30011393542398,11.323862071543985,-0.02374813612000537
2010,新富士,新富士,11.285186581009215,11.300285200228762,-0.015098619219546805
2011,新富士,新富士,11.255539274895305,11.273154609152765,-0.01761533425746009
2012,新富士,新富士,11.2369409078065,11.257122165204372,-0.020181257397871022
2013,新富士,新富士,11.212143575693378,11.245337848795126,-0.033194273101747385
2014,新富士,新富士,11.181310540583047,11.234224651969393,-0.05291411138634672
2015,新富士,新富士,11.164351190357346,11.224805636357928,-0.06045444600058225
2016,新富士,新富士,11.147295939931475,11.214078176771219,-0.06678223683974416
2017,新富士,新富士,11.131413875444453,11.214908824224613,-0.08349494878016017
2018,新富士,新富士,11.121178375056134,11.207870078773587,-0.08669170371745238
2019,新富士,新富士,11.113959501418904,11.202186746403543,-0.08822724498463863
2020,新富士,新富士,11.09918294566642,11.190335349400645,-0.09115240373422395
2021,新富士,新富士,11.09155897429786,11.18079303271473,-0.08923405841687071
2022,新富士,新富士,11.085023367254934,11.175148087175044,-0.09012471992011051
2023,新富士,新富士,11.081424142135171,11.17202377955074,-0.09059963741556842
2024,新富士,新富士,11.080451945130179,11.171519683658508,-0.09106773852832895
2025,新富士,新富士,11.07999312422727,11.171171298662568,-0.09117817443529752
2009,新横浜,新横浜,13.176467477454796,12.6921880633512,0.48427941410359665
2010,新横浜,新横浜,13.132183792099276,12.660802367936238,0.4713814241630381
2011,新横浜,新横浜,13.118539069734819,12.645944459387618,0.4725946103472012
2012,新横浜,新横浜,13.104754202955423,12.641808164337162,0.4629460386182611
2013,新横浜,新横浜,13.134350461748912,12.662444585986817,0.4719058757620953
2014,新横浜,新横浜,13.158771468644966,12.708694378805374,0.45007708983959205
2015,新横浜,新横浜,13.181533377336573,12.730909314822235,0.45062406251433806
2016,新横浜,新横浜,13.204589397860166,12.805742807032395,0.3988465908277714
2017,新横浜,新横浜,13.231762744127318,12.831903176693643,0.39985956743367446
2018,新横浜,新横浜,13.269630599431522,12.877767435765449,0.39186316366607343
2019,新横浜,新横浜,13.325207009630965,12.912003431214883,0.41320357841608235
2020,新横浜,新横浜,13.341724679427559,12.925684341121345,0.4160403383062139
2021,新横浜,新横浜,13.348583169848139,12.945764125280071,0.4028190445680675
2022,新横浜,新横浜,13.369025439175129,12.970443219818856,0.3985822193562729
2023,新横浜,新横浜,13.426738620247995,13.00815091740954,0.4185877028384546
2024,新横浜,新横浜,13.547332866091145,13.063525690230254,0.48380717586089084
2025,新横浜,新横浜,13.605845610421394,13.116722777992184,0.48912283242921006
2009,東京,東京,15.651688243524287,14.240788970367754,1.4108992731565326
2010,東京,東京,15.528057309571842,14.168014338022592,1.36004297154925
2011,東京,東京,15.497325898413973,14.13738717017529,1.3599387282386832
2012,東京,東京,15.483648684615595,14.128764996576072,1.3548836880395232
2013,東京,東京,15.498980233683056,14.155726447089995,1.3432537865930616
2014,東京,東京,15.564639811181207,14.196594868828802,1.3680449423524053
2015,東京,東京,15.639689970379687,14.24708055177254,1.3926094186071474
2016,東京,東京,15.745337541598653,14.309199246370282,1.4361382952283712
2017,東京,東京,15.784277786265019,14.366920534385253,1.417357251879766
2018,東京,東京,15.853349789635748,14.439354912504246,1.4139948771315023
2019,東京,東京,15.830665208592821,14.526247345832651,1.30441786276017
2020,東京,東京,15.761389950445269,14.534136440384394,1.2272535100608746
2021,東京,東京,15.745430074061023,14.529997320822677,1.2154327532383462
2022,東京,東京,15.743782180382954,14.546678964560254,1.1971032158227004
2023,東京,東京,15.77018298061838,14.598007156911208,1.172175823707171
2024,東京,東京,15.846063422710774,14.696012867696107,1.1500505550146674
2025,東京,東京,15.944583132922762,14.835429900479529,1.1091532324432336
2009,浜松,浜松,12.138736162037944,11.454326793519892,0.6844093685180521
2010,浜松,浜松,12.122078712846264,11.438610648480465,0.6834680643657993
2011,浜松,浜松,12.113535568231875,11.426756228168411,0.6867793400634632
2012,浜松,浜松,12.31686813574692,11.44678823786045,0.8700798978864714
2013,浜松,浜松,12.320846369719396,11.44293235372775,0.8779140159916459
2014,浜松,浜松,12.326801887116664,11.457627816226214,0.8691740708904501
2015,浜松,浜松,12.335666530191496,11.45695485462981,0.8787116755616857
2016,浜松,浜松,12.348809732567222,11.457271861422658,0.8915378711445641
2017,浜松,浜松,12.365553470613593,11.455768552282235,0.9097849183313578
2018,浜松,浜松,12.391657462796717,11.461171328604015,0.9304861341927015
2019,浜松,浜松,12.430520804237828,11.472738971335447,0.9577818329023806
2020,浜松,浜松,12.413133190462863,11.464245269023426,0.9488879214394377
2021,浜松,浜松,12.395196209538792,11.459364881084312,0.9358313284544799
2022,浜松,浜松,12.397720335025598,11.462056653099586,0.9356636819260125
2023,浜松,浜松,12.407329315544196,11.467582953924033,0.9397463616201627
2024,浜松,浜松,12.427264299785588,11.475854061241272,0.951410238544316
2025,浜松,浜松,12.45532293053944,11.48535938641499,0.9699635441244503
2009,熱海,熱海,11.496972449022325,11.389961330237982,0.10701111878434233
2010,熱海,熱海,11.480745682232302,11.369952690425269,0.11079299180703295
2011,熱海,熱海,11.461520278879217,11.347992691275326,0.11352758760389037
2012,熱海,熱海,11.446170240928423,11.328294079842482,0.11787616108594001
2013,熱海,熱海,11.437407656214042,11.314831212650187,0.12257644356385455
2014,熱海,熱海,11.434273633587697,11.301153458021679,0.13312017556601852
2015,熱海,熱海,11.432248777182657,11.28732954707102,0.144919230111638
2016,熱海,熱海,11.432097820840058,11.274211180402078,0.1578866404379795
2017,熱海,熱海,11.431479460055945,11.261013162994244,0.1704662970617008
2018,熱海,熱海,11.437138112293148,11.250055067133758,0.18708304515939034
2019,熱海,熱海,11.45704218317297,11.244088505954783,0.21295367721818614
2020,熱海,熱海,11.450364700626439,11.22668073407249,0.22368396655394918
2021,熱海,熱海,11.473024476486508,11.222395116369446,0.2506293601170615
2022,熱海,熱海,11.585203270852405,11.241115106678997,0.3440881641734084
2023,熱海,熱海,11.661237493194392,11.255335403024198,0.4059020901701942
2024,熱海,熱海,11.735432892463395,11.27203678179003,0.46339611067336506
2025,熱海,熱海,11.822150337528818,11.293603743663448,0.5285465938653697
2009,米原,米原,11.21647359756943,10.664220381706254,0.5522532158631748
2010,米原,米原,11.19736957014998,10.638610676834674,0.5587588933153071
2011,米原,米原,11.193244518087077,10.622666362160258,0.5705781559268193
2012,米原,米原,11.189822292774465,10.615403341318268,0.574418951456197
2013,米原,米原,11.186331325771846,10.604658445306628,0.5816728804652183
2014,米原,米原,11.183552588048922,10.594719135394799,0.5888334526541232
2015,米原,米原,11.180766093942001,10.584790613695247,0.5959754802467536
2016,米原,米原,11.177971799952914,10.57434932703992,0.6036224729129938
2017,米原,米原,11.177971799952914,10.611415915913527,0.5665558840393867
2018,米原,米原,11.178700132201147,10.606563635914828,0.5721364962863191
2019,米原,米原,11.178700132201147,10.600991871383252,0.5777082608178947
2020,米原,米原,11.176011953682956,10.589174467394301,0.5868374862886547
2021,米原,米原,11.173309244399501,10.57924325303961,0.5940659913598907
2022,米原,米原,11.171272581705683,10.570897745163897,0.6003748365417856
2023,米原,米原,11.17345123439016,10.57011645950926,0.603334774880901
2024,米原,米原,11.180645603116211,10.576687699570801,0.6039579035454103
2025,米原,米原,11.18773792061219,10.584266186192588,0.6034717344196014
2009,豊橋,豊橋,11.85991628758246,11.493417565468574,0.3664987221138851
2010,豊橋,豊橋,11.853035442233535,11.489782858261854,0.3632525839716809
2011,豊橋,豊橋,11.85100863358683,11.485094680951086,0.36591395263574356
2012,豊橋,豊橋,11.85100863358683,11.483531873911355,0.36747675967547444
2013,豊橋,豊橋,11.857626728878131,11.481630297243523,0.37599643163460783
2014,豊橋,豊橋,11.951299586814171,11.48877569960664,0.46252388720753146
2015,豊橋,豊橋,11.960649813883359,11.490949025500662,0.46970078838269735
2016,豊橋,豊橋,11.961098014733,11.488691504167788,0.47240651056521266
2017,豊橋,豊橋,11.965780861560862,11.487648386606716,0.4781324749541458
2018,豊橋,豊橋,11.979734375619191,11.48988979858712,0.4898445770320716
2019,豊橋,豊橋,11.996505232024758,11.495468726202168,0.5010365058225901
2020,豊橋,豊橋,12.002608870990265,11.495772852712996,0.5068360182772693
2021,豊橋,豊橋,12.011512282402856,11.495702283029017,0.5158099993738396
2022,豊橋,豊橋,12.032881548045433,11.502555417910983,0.5303261301344495
2023,豊橋,豊橋,12.060371405797033,11.51321264519617,0.5471587606008637
2024,豊橋,豊橋,12.086376491965114,11.5232907929209,0.5630856990442137
2025,豊橋,豊橋,12.102407670351383,11.530126374571717,0.5722812957796659
2009,静岡,静岡,12.82483644645938,12.049419359209809,0.7754170872495703
2010,静岡,静岡,12.786283768378075,12.02569753494866,0.7605862334294144
2011,静岡,静岡,12.75830252174533,12.009835883286978,0.7484666384583516
2012,静岡,静岡,12.750634687057238,11.999155961279486,0.7514787257777513
2013,静岡,静岡,12.70020211678967,12.003545404554751,0.696656712234919
2014,静岡,静岡,12.713136578502203,12.011518862092759,0.7016177164094444
