year,station_key,station_jp,n_obs_total,mean_of_means,median_of_med
2016,豊橋,豊橋,1123,145175.2970673424,113500
2016,静岡,静岡,1868,315447.6104334017,216000
2017,三島,三島,995,162412.41185377457,144000
2017,三河安城,三河安城,782,145255.07911995729,146666.66666666666
2017,京都,京都,1912,559765.3729285758,305333.3333333333
2017,名古屋,名古屋,2394,1964548.51077464,619333.3333333334
2017,品川,品川,2221,2051130.9938934727,1216666.6666666667
2017,小田原,小田原,646,180452.1738526888,143000
2017,岐阜羽島,岐阜羽島,447,41222.17344173443,43833.333333333336
2017,掛川,掛川,526,113802.52525252532,64950
2017,新大阪,新大阪,1838,580708.6638428541,358333.3333333333
2017,新富士,新富士,878,77202.98976563917,75866.66666666667
2017,新横浜,新横浜,1554,625327.6327329163,300333.3333333333
2017,東京,東京,4061,6409425.382840614,3356666.6666666665
2017,浜松,浜松,1609,174279.5205653416,147533.33333333334
2017,熱海,熱海,397,90333.54530678586,77000
2017,米原,米原,266,58160.174029451126,61066.666666666664
2017,豊橋,豊橋,1123,145425.6980259561,114833.33333333333
2017,静岡,静岡,1868,321054.0609914827,220333.33333333334
2018,三島,三島,995,158647.299156392,144666.66666666666
2018,三河安城,三河安城,782,148442.0346221307,149666.66666666666
2018,京都,京都,1912,656209.2019127662,334000
2018,名古屋,名古屋,2394,2201472.0960162017,696333.3333333334
2018,品川,品川,2221,2215277.7258572215,1293333.3333333333
2018,小田原,小田原,646,180423.57089313967,143000
2018,岐阜羽島,岐阜羽島,447,40944.661246612464,43500
2018,掛川,掛川,526,112395.08357915441,64833.333333333336
2018,新大阪,新大阪,1838,625422.0933531818,368000
2018,新富士,新富士,878,76674.01468203503,75433.33333333333
2018,新横浜,新横浜,1520,674041.5575976974,308333.3333333333
2018,東京,東京,4061,6825853.6988703115,3670000
2018,浜松,浜松,1609,177855.09667449974,149833.33333333334
2018,熱海,熱海,397,90735.96302316131,77016.66666666667
2018,米原,米原,266,58133.515881708656,60883.333333333336
2018,豊橋,豊橋,1123,146931.8225998934,116333.33333333333
2018,静岡,静岡,1868,326475.5433115467,224000
2019,三島,三島,995,159196.85139519797,145666.66666666666
2019,三河安城,三河安城,782,153130.79386867993,154000
2019,京都,京都,1912,771380.779575195,366666.6666666667
2019,名古屋,名古屋,2394,2414145.99477741,827666.6666666666
2019,品川,品川,2285,2403037.9560592645,1403333.3333333333
2019,小田原,小田原,646,180196.11177434126,142333.33333333334
